 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOC1               kPOC2                kMOC                kDOC                kMBa             kMBa_in                kMBd             kMBd_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE       Balance_Error              TOCbeg              TOCend              TOCinp              TOCout                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  20180117        0.351667E-05        0.262292E-02        0.261625E-04        0.996292E-01        0.164375E-01        0.214625E-01        0.561250E-03        0.137667E-12        0.994625E-02        0.127708E-01        0.628125E-01        0.605333E+00        0.221000E+00       -0.166333E-15        0.113167E+02        0.113125E+02        0.000000E+00        0.315333E-02
  20180118        0.411667E-05        0.298625E-02        0.297292E-04        0.112333E+00        0.159000E-01        0.207042E-01        0.542792E-03        0.157250E-12        0.101000E-01        0.129750E-01        0.607250E-01        0.636167E+00        0.220125E+00       -0.453625E-16        0.112458E+02        0.112417E+02        0.000000E+00        0.342792E-02
  20180119        0.482208E-05        0.338333E-02        0.336333E-04        0.126000E+00        0.152333E-01        0.197833E-01        0.520208E-03        0.178750E-12        0.101000E-01        0.129792E-01        0.581333E-01        0.664583E+00        0.220000E+00       -0.783750E-16        0.111625E+02        0.111583E+02        0.000000E+00        0.367167E-02
  20180120        0.565042E-05        0.380792E-02        0.378792E-04        0.140583E+00        0.144458E-01        0.187333E-01        0.493500E-03        0.201500E-12        0.997792E-02        0.127833E-01        0.551167E-01        0.690458E+00        0.219083E+00        0.377167E-15        0.110708E+02        0.110667E+02        0.000000E+00        0.387000E-02
  20180121        0.661583E-05        0.425292E-02        0.424500E-04        0.155792E+00        0.135708E-01        0.175458E-01        0.463375E-03        0.226083E-12        0.968458E-02        0.123875E-01        0.517000E-01        0.713583E+00        0.218375E+00        0.679333E-16        0.109750E+02        0.109708E+02        0.000000E+00        0.400750E-02
  20180122        0.773417E-05        0.470458E-02        0.473333E-04        0.171375E+00        0.126042E-01        0.162583E-01        0.430375E-03        0.251417E-12        0.925375E-02        0.118167E-01        0.479542E-01        0.734000E+00        0.217375E+00        0.535833E-16        0.108792E+02        0.108750E+02        0.000000E+00        0.407333E-02
  20180123        0.901958E-05        0.514750E-02        0.524208E-04        0.187167E+00        0.115792E-01        0.148958E-01        0.395375E-03        0.277292E-12        0.870667E-02        0.111083E-01        0.439708E-01        0.751917E+00        0.216083E+00       -0.889667E-16        0.107833E+02        0.107792E+02        0.000000E+00        0.406250E-02
  20180124        0.104779E-04        0.556167E-02        0.576875E-04        0.202708E+00        0.105208E-01        0.135000E-01        0.359083E-03        0.303083E-12        0.807292E-02        0.102767E-01        0.398750E-01        0.767417E+00        0.214458E+00        0.764292E-16        0.106875E+02        0.106833E+02        0.000000E+00        0.397250E-02
  20180125        0.121250E-04        0.592583E-02        0.630500E-04        0.217833E+00        0.946250E-02        0.121042E-01        0.323000E-03        0.328375E-12        0.738750E-02        0.938000E-02        0.357708E-01        0.780500E+00        0.212417E+00       -0.565833E-17        0.105958E+02        0.105917E+02        0.000000E+00        0.381333E-02
  20180126        0.139333E-04        0.622042E-02        0.684167E-04        0.232125E+00        0.843917E-02        0.107542E-01        0.288083E-03        0.352500E-12        0.668292E-02        0.846042E-02        0.318083E-01        0.791917E+00        0.210042E+00        0.163612E-15        0.105000E+02        0.105000E+02        0.000000E+00        0.359750E-02
  20180127        0.159042E-04        0.642750E-02        0.737208E-04        0.245417E+00        0.747917E-02        0.949625E-02        0.255208E-03        0.375208E-12        0.599333E-02        0.755958E-02        0.280833E-01        0.801375E+00        0.207125E+00       -0.782375E-16        0.104083E+02        0.104042E+02        0.000000E+00        0.334750E-02
  20180128        0.180083E-04        0.654042E-02        0.788750E-04        0.257708E+00        0.660417E-02        0.834708E-02        0.225333E-03        0.396167E-12        0.534542E-02        0.671375E-02        0.246958E-01        0.809375E+00        0.203708E+00       -0.416667E-18        0.103375E+02        0.103333E+02        0.000000E+00        0.308000E-02
  20180129        0.202042E-04        0.655708E-02        0.838000E-04        0.268750E+00        0.582875E-02        0.733083E-02        0.198750E-03        0.415250E-12        0.475833E-02        0.594708E-02        0.216958E-01        0.816083E+00        0.199833E+00       -0.676250E-16        0.102792E+02        0.102750E+02        0.000000E+00        0.281292E-02
  20180130        0.224750E-04        0.648000E-02        0.885167E-04        0.278708E+00        0.516000E-02        0.645250E-02        0.176042E-03        0.432583E-12        0.424125E-02        0.527167E-02        0.190958E-01        0.821750E+00        0.195458E+00        0.619042E-16        0.102000E+02        0.102000E+02        0.000000E+00        0.256500E-02
  20180131        0.247458E-04        0.632333E-02        0.929125E-04        0.287458E+00        0.459125E-02        0.570750E-02        0.156625E-03        0.448042E-12        0.379667E-02        0.469208E-02        0.169000E-01        0.826542E+00        0.190792E+00        0.274458E-15        0.101417E+02        0.101375E+02        0.000000E+00        0.233292E-02
  20180201        0.270042E-04        0.610208E-02        0.970083E-04        0.295292E+00        0.411875E-02        0.508833E-02        0.140458E-03        0.461833E-12        0.342208E-02        0.420250E-02        0.150625E-01        0.830583E+00        0.185792E+00        0.951417E-16        0.101000E+02        0.101000E+02        0.000000E+00        0.213250E-02
  20180202        0.292000E-04        0.583042E-02        0.100775E-03        0.302250E+00        0.372750E-02        0.457500E-02        0.127083E-03        0.474375E-12        0.311042E-02        0.379750E-02        0.135500E-01        0.834042E+00        0.180625E+00       -0.120958E-15        0.100375E+02        0.100333E+02        0.000000E+00        0.196083E-02
  20180203        0.313125E-04        0.552833E-02        0.104333E-03        0.308500E+00        0.340792E-02        0.415625E-02        0.116167E-03        0.485542E-12        0.285542E-02        0.346167E-02        0.123125E-01        0.837083E+00        0.175500E+00        0.374000E-16        0.999375E+01        0.999292E+01        0.000000E+00        0.181500E-02
  20180204        0.333333E-04        0.520833E-02        0.107500E-03        0.314125E+00        0.314542E-02        0.381292E-02        0.107167E-03        0.495583E-12        0.264292E-02        0.318667E-02        0.112917E-01        0.839833E+00        0.170417E+00       -0.286965E-16        0.995667E+01        0.995500E+01        0.000000E+00        0.169417E-02
  20180205        0.352208E-04        0.488417E-02        0.110375E-03        0.319208E+00        0.293125E-02        0.353042E-02        0.999042E-04        0.504917E-12        0.246917E-02        0.295875E-02        0.104583E-01        0.842125E+00        0.165500E+00        0.148000E-16        0.991667E+01        0.991500E+01        0.000000E+00        0.159333E-02
  20180206        0.370000E-04        0.456417E-02        0.113042E-03        0.323875E+00        0.275417E-02        0.330000E-02        0.938417E-04        0.513458E-12        0.232667E-02        0.277250E-02        0.977750E-02        0.844250E+00        0.160958E+00        0.171918E-15        0.987958E+01        0.987792E+01        0.000000E+00        0.150958E-02
  20180207        0.386417E-04        0.425542E-02        0.115500E-03        0.328125E+00        0.260833E-02        0.310833E-02        0.888542E-04        0.521417E-12        0.220792E-02        0.261792E-02        0.920917E-02        0.846208E+00        0.156583E+00       -0.327125E-16        0.984375E+01        0.984250E+01        0.000000E+00        0.144042E-02
  20180208        0.401667E-04        0.396292E-02        0.117792E-03        0.332125E+00        0.248625E-02        0.294833E-02        0.846833E-04        0.528792E-12        0.210917E-02        0.249000E-02        0.873625E-02        0.847958E+00        0.152500E+00        0.374167E-16        0.981000E+01        0.980833E+01        0.000000E+00        0.138250E-02
  20180209        0.415792E-04        0.368917E-02        0.119833E-03        0.335792E+00        0.238292E-02        0.281500E-02        0.811792E-04        0.535833E-12        0.202583E-02        0.237958E-02        0.833833E-02        0.849542E+00        0.148667E+00       -0.125333E-16        0.977708E+01        0.977583E+01        0.000000E+00        0.133375E-02
  20180210        0.428833E-04        0.343500E-02        0.121708E-03        0.339375E+00        0.229542E-02        0.269958E-02        0.781917E-04        0.542375E-12        0.195500E-02        0.228708E-02        0.800000E-02        0.851167E+00        0.145250E+00       -0.142042E-15        0.974625E+01        0.974500E+01        0.000000E+00        0.129250E-02
  20180211        0.440792E-04        0.320250E-02        0.123500E-03        0.342625E+00        0.222042E-02        0.260167E-02        0.756500E-04        0.548750E-12        0.189417E-02        0.220792E-02        0.771042E-02        0.852542E+00        0.141917E+00        0.620833E-17        0.971500E+01        0.971375E+01        0.000000E+00        0.125708E-02
  20180212        0.451792E-04        0.299083E-02        0.125208E-03        0.345750E+00        0.215583E-02        0.251667E-02        0.734250E-04        0.554750E-12        0.184167E-02        0.213958E-02        0.745750E-02        0.853792E+00        0.138958E+00        0.105450E-15        0.968542E+01        0.968417E+01        0.000000E+00        0.122750E-02
  20180213        0.461958E-04        0.279833E-02        0.126667E-03        0.348750E+00        0.209958E-02        0.244250E-02        0.714833E-04        0.560542E-12        0.179667E-02        0.207958E-02        0.723917E-02        0.855208E+00        0.136083E+00       -0.186025E-15        0.965667E+01        0.965542E+01        0.000000E+00        0.120083E-02
  20180214        0.471375E-04        0.262292E-02        0.128208E-03        0.351708E+00        0.204917E-02        0.237750E-02        0.697792E-04        0.566125E-12        0.175583E-02        0.202708E-02        0.704542E-02        0.856375E+00        0.133500E+00       -0.252833E-15        0.962792E+01        0.962667E+01        0.000000E+00        0.117875E-02
  20180215        0.480083E-04        0.246542E-02        0.129542E-03        0.354458E+00        0.200542E-02        0.231917E-02        0.682667E-04        0.571542E-12        0.172083E-02        0.198000E-02        0.687375E-02        0.857500E+00        0.131000E+00        0.185375E-15        0.959958E+01        0.959875E+01        0.000000E+00        0.115875E-02
  20180216        0.488167E-04        0.232333E-02        0.130750E-03        0.357125E+00        0.196542E-02        0.226708E-02        0.669125E-04        0.576833E-12        0.168875E-02        0.193833E-02        0.671958E-02        0.858583E+00        0.128750E+00       -0.428833E-16        0.957208E+01        0.957083E+01        0.000000E+00        0.114167E-02
  20180217        0.495833E-04        0.219500E-02        0.132083E-03        0.359792E+00        0.192917E-02        0.222000E-02        0.656792E-04        0.581958E-12        0.165958E-02        0.190000E-02        0.658125E-02        0.859625E+00        0.126583E+00       -0.229167E-16        0.954500E+01        0.954375E+01        0.000000E+00        0.112542E-02
  20180218        0.502875E-04        0.207875E-02        0.133250E-03        0.362208E+00        0.189708E-02        0.217750E-02        0.645750E-04        0.586917E-12        0.163375E-02        0.186583E-02        0.645500E-02        0.860667E+00        0.124500E+00        0.389167E-16        0.951875E+01        0.951750E+01        0.000000E+00        0.111250E-02
  20180219        0.509583E-04        0.197458E-02        0.134375E-03        0.364750E+00        0.186792E-02        0.213875E-02        0.635583E-04        0.591917E-12        0.161000E-02        0.183500E-02        0.634042E-02        0.861625E+00        0.122542E+00       -0.736083E-16        0.949125E+01        0.949042E+01        0.000000E+00        0.109917E-02
  20180220        0.515750E-04        0.187958E-02        0.135417E-03        0.367083E+00        0.184042E-02        0.210375E-02        0.626417E-04        0.596625E-12        0.158833E-02        0.180667E-02        0.623542E-02        0.862583E+00        0.120708E+00       -0.382542E-16        0.946500E+01        0.946375E+01        0.000000E+00        0.108792E-02
  20180221        0.521708E-04        0.179500E-02        0.136458E-03        0.369417E+00        0.181542E-02        0.207083E-02        0.617833E-04        0.601250E-12        0.156833E-02        0.178042E-02        0.613833E-02        0.863500E+00        0.119000E+00        0.191492E-15        0.943958E+01        0.943875E+01        0.000000E+00        0.107792E-02
  20180222        0.527375E-04        0.171625E-02        0.137458E-03        0.371708E+00        0.179208E-02        0.204000E-02        0.609958E-04        0.605875E-12        0.155042E-02        0.175667E-02        0.604958E-02        0.864333E+00        0.117375E+00       -0.176708E-16        0.941333E+01        0.941208E+01        0.000000E+00        0.106917E-02
  20180223        0.532667E-04        0.164583E-02        0.138417E-03        0.373917E+00        0.177083E-02        0.201208E-02        0.602625E-04        0.610375E-12        0.153375E-02        0.173375E-02        0.596500E-02        0.865167E+00        0.115667E+00        0.683333E-16        0.938833E+01        0.938708E+01        0.000000E+00        0.106000E-02
  20180224        0.537792E-04        0.158042E-02        0.139333E-03        0.376042E+00        0.175125E-02        0.198667E-02        0.595875E-04        0.614833E-12        0.151667E-02        0.171333E-02        0.588958E-02        0.866000E+00        0.114292E+00        0.175229E-15        0.936208E+01        0.936125E+01        0.000000E+00        0.105167E-02
  20180225        0.542708E-04        0.152208E-02        0.140250E-03        0.378208E+00        0.173292E-02        0.196167E-02        0.589500E-04        0.619167E-12        0.150333E-02        0.169417E-02        0.581708E-02        0.866958E+00        0.112708E+00        0.536250E-16        0.933792E+01        0.933667E+01        0.000000E+00        0.104583E-02
  20180226        0.547333E-04        0.146792E-02        0.141083E-03        0.380292E+00        0.171500E-02        0.193917E-02        0.583583E-04        0.623458E-12        0.148875E-02        0.167542E-02        0.574958E-02        0.867708E+00        0.111417E+00       -0.165417E-15        0.931208E+01        0.931125E+01        0.000000E+00        0.104000E-02
  20180227        0.551833E-04        0.141833E-02        0.142000E-03        0.382333E+00        0.169875E-02        0.191792E-02        0.578000E-04        0.627708E-12        0.147583E-02        0.165875E-02        0.568750E-02        0.868417E+00        0.110083E+00        0.108629E-15        0.928833E+01        0.928708E+01        0.000000E+00        0.103167E-02
  20180228        0.556167E-04        0.137167E-02        0.142917E-03        0.384333E+00        0.168417E-02        0.189750E-02        0.572792E-04        0.631875E-12        0.146417E-02        0.164375E-02        0.562750E-02        0.869042E+00        0.108708E+00        0.797250E-16        0.926250E+01        0.926167E+01        0.000000E+00        0.103000E-02
  20180301        0.560375E-04        0.133000E-02        0.143708E-03        0.386333E+00        0.166875E-02        0.187875E-02        0.567917E-04        0.636000E-12        0.145292E-02        0.162708E-02        0.557167E-02        0.870000E+00        0.107542E+00        0.130583E-15        0.923833E+01        0.923750E+01        0.000000E+00        0.102000E-02
  20180302        0.564500E-04        0.129042E-02        0.144500E-03        0.388333E+00        0.165542E-02        0.186083E-02        0.563167E-04        0.640125E-12        0.144250E-02        0.161417E-02        0.551833E-02        0.870667E+00        0.106375E+00       -0.199042E-15        0.921375E+01        0.921250E+01        0.000000E+00        0.102000E-02
  20180303        0.568458E-04        0.125375E-02        0.145208E-03        0.390250E+00        0.164292E-02        0.184417E-02        0.558792E-04        0.644167E-12        0.143208E-02        0.160083E-02        0.546917E-02        0.871250E+00        0.105208E+00        0.540875E-16        0.918917E+01        0.918833E+01        0.000000E+00        0.101167E-02
  20180304        0.572250E-04        0.121958E-02        0.146000E-03        0.392125E+00        0.163042E-02        0.182708E-02        0.554625E-04        0.648167E-12        0.142250E-02        0.158750E-02        0.542083E-02        0.872000E+00        0.104125E+00       -0.843683E-16        0.916500E+01        0.916375E+01        0.000000E+00        0.101000E-02
  20180305        0.576000E-04        0.118750E-02        0.146917E-03        0.393958E+00        0.161833E-02        0.181333E-02        0.550667E-04        0.652042E-12        0.141333E-02        0.157583E-02        0.537625E-02        0.872750E+00        0.103042E+00        0.129292E-15        0.914083E+01        0.914000E+01        0.000000E+00        0.100792E-02
  20180306        0.579625E-04        0.115792E-02        0.147583E-03        0.395792E+00        0.160750E-02        0.179750E-02        0.546833E-04        0.656000E-12        0.140500E-02        0.156458E-02        0.533292E-02        0.873250E+00        0.102000E+00       -0.509954E-16        0.911750E+01        0.911625E+01        0.000000E+00        0.100000E-02
  20180307        0.583250E-04        0.112958E-02        0.148250E-03        0.397625E+00        0.159708E-02        0.178458E-02        0.543292E-04        0.659833E-12        0.139708E-02        0.155375E-02        0.529167E-02        0.874000E+00        0.101000E+00       -0.109917E-15        0.909250E+01        0.909167E+01        0.000000E+00        0.999333E-03
  20180308        0.586625E-04        0.110250E-02        0.149000E-03        0.399458E+00        0.158708E-02        0.177208E-02        0.539792E-04        0.663667E-12        0.139000E-02        0.154333E-02        0.525375E-02        0.874667E+00        0.998958E-01        0.935042E-16        0.906917E+01        0.906833E+01        0.000000E+00        0.996542E-03
  20180309        0.590083E-04        0.107833E-02        0.149875E-03        0.401250E+00        0.157750E-02        0.175792E-02        0.536542E-04        0.667500E-12        0.138042E-02        0.153333E-02        0.521583E-02        0.875083E+00        0.990875E-01       -0.324167E-17        0.904500E+01        0.904375E+01        0.000000E+00        0.993875E-03
  20180310        0.593458E-04        0.105417E-02        0.150458E-03        0.402917E+00        0.156875E-02        0.174625E-02        0.533375E-04        0.671250E-12        0.137417E-02        0.152417E-02        0.518083E-02        0.876000E+00        0.981750E-01       -0.470000E-17        0.902083E+01        0.902000E+01        0.000000E+00        0.991292E-03
  20180311        0.596708E-04        0.103125E-02        0.151000E-03        0.404667E+00        0.156000E-02        0.173500E-02        0.530375E-04        0.675000E-12        0.136917E-02        0.151500E-02        0.514625E-02        0.876417E+00        0.972917E-01        0.351667E-16        0.899750E+01        0.899667E+01        0.000000E+00        0.988958E-03
  20180312        0.599917E-04        0.101042E-02        0.152000E-03        0.406458E+00        0.155000E-02        0.172417E-02        0.527500E-04        0.678667E-12        0.136000E-02        0.150667E-02        0.511333E-02        0.877000E+00        0.964333E-01        0.137163E-15        0.897375E+01        0.897250E+01        0.000000E+00        0.986792E-03
  20180313        0.603125E-04        0.990000E-03        0.152542E-03        0.408083E+00        0.154208E-02        0.171333E-02        0.524750E-04        0.682417E-12        0.135500E-02        0.149875E-02        0.508208E-02        0.877708E+00        0.955958E-01        0.154000E-15        0.895000E+01        0.894917E+01        0.000000E+00        0.984750E-03
  20180314        0.606250E-04        0.970583E-03        0.153042E-03        0.409708E+00        0.153500E-02        0.170292E-02        0.522042E-04        0.686083E-12        0.135000E-02        0.149000E-02        0.505125E-02        0.878000E+00        0.947833E-01        0.990417E-17        0.892667E+01        0.892542E+01        0.000000E+00        0.982875E-03
  20180315        0.609250E-04        0.952000E-03        0.154000E-03        0.411458E+00        0.152833E-02        0.169292E-02        0.519458E-04        0.689667E-12        0.134167E-02        0.148167E-02        0.502208E-02        0.878958E+00        0.939833E-01        0.906792E-16        0.890250E+01        0.890167E+01        0.000000E+00        0.981125E-03
  20180316        0.612250E-04        0.934417E-03        0.154542E-03        0.413042E+00        0.152000E-02        0.168333E-02        0.517000E-04        0.693333E-12        0.133958E-02        0.147500E-02        0.499417E-02        0.879125E+00        0.932083E-01        0.269000E-16        0.887917E+01        0.887833E+01        0.000000E+00        0.979458E-03
  20180317        0.615250E-04        0.917458E-03        0.155000E-03        0.414625E+00        0.151208E-02        0.167417E-02        0.514625E-04        0.696875E-12        0.133000E-02        0.146917E-02        0.496750E-02        0.880000E+00        0.924500E-01        0.133658E-15        0.885625E+01        0.885500E+01        0.000000E+00        0.977833E-03
  20180318        0.618208E-04        0.901333E-03        0.156000E-03        0.416375E+00        0.150708E-02        0.166542E-02        0.512208E-04        0.700500E-12        0.132875E-02        0.146000E-02        0.494042E-02        0.880292E+00        0.917083E-01       -0.245000E-16        0.883208E+01        0.883125E+01        0.000000E+00        0.976458E-03
  20180319        0.621083E-04        0.885667E-03        0.156417E-03        0.417875E+00        0.150000E-02        0.165708E-02        0.509958E-04        0.704000E-12        0.132000E-02        0.145375E-02        0.491458E-02        0.881000E+00        0.909792E-01        0.335417E-16        0.880917E+01        0.880833E+01        0.000000E+00        0.975125E-03
  20180320        0.623958E-04        0.870750E-03        0.157000E-03        0.419458E+00        0.149208E-02        0.164917E-02        0.507792E-04        0.707500E-12        0.131958E-02        0.144958E-02        0.489000E-02        0.881375E+00        0.902667E-01       -0.914583E-17        0.878583E+01        0.878458E+01        0.000000E+00        0.973750E-03
  20180321        0.626792E-04        0.856375E-03        0.157833E-03        0.421042E+00        0.148833E-02        0.164000E-02        0.505708E-04        0.711083E-12        0.131000E-02        0.144000E-02        0.486625E-02        0.882000E+00        0.895708E-01       -0.865708E-16        0.876167E+01        0.876083E+01        0.000000E+00        0.972583E-03
  20180322        0.629542E-04        0.842583E-03        0.158208E-03        0.422542E+00        0.148000E-02        0.163167E-02        0.503625E-04        0.714500E-12        0.131000E-02        0.143583E-02        0.484208E-02        0.882375E+00        0.888875E-01        0.788042E-16        0.873917E+01        0.873833E+01        0.000000E+00        0.971458E-03
  20180323        0.632250E-04        0.829250E-03        0.159000E-03        0.424167E+00        0.147500E-02        0.162458E-02        0.501583E-04        0.717958E-12        0.130125E-02        0.143000E-02        0.481958E-02        0.883000E+00        0.882083E-01       -0.780083E-16        0.871583E+01        0.871458E+01        0.000000E+00        0.970375E-03
  20180324        0.635000E-04        0.816333E-03        0.159542E-03        0.425583E+00        0.147000E-02        0.161792E-02        0.499625E-04        0.721500E-12        0.130000E-02        0.142250E-02        0.479792E-02        0.883375E+00        0.875500E-01       -0.771500E-16        0.869208E+01        0.869125E+01        0.000000E+00        0.969333E-03
  20180325        0.637750E-04        0.804000E-03        0.160000E-03        0.427167E+00        0.146292E-02        0.161000E-02        0.497708E-04        0.724917E-12        0.129458E-02        0.142000E-02        0.477625E-02        0.884000E+00        0.868958E-01       -0.200000E-18        0.866917E+01        0.866833E+01        0.000000E+00        0.968375E-03
  20180326        0.640292E-04        0.792000E-03        0.160875E-03        0.428583E+00        0.146000E-02        0.160167E-02        0.495875E-04        0.728292E-12        0.129000E-02        0.141042E-02        0.475417E-02        0.884292E+00        0.862542E-01       -0.289167E-16        0.864583E+01        0.864458E+01        0.000000E+00        0.967417E-03
  20180327        0.642958E-04        0.780500E-03        0.161208E-03        0.430167E+00        0.145125E-02        0.159583E-02        0.494042E-04        0.731625E-12        0.128917E-02        0.140875E-02        0.473375E-02        0.885000E+00        0.856167E-01        0.133663E-15        0.862250E+01        0.862167E+01        0.000000E+00        0.966542E-03
  20180328        0.645542E-04        0.769333E-03        0.162000E-03        0.431583E+00        0.145000E-02        0.159000E-02        0.492292E-04        0.735083E-12        0.128000E-02        0.140000E-02        0.471333E-02        0.885167E+00        0.849917E-01        0.221333E-16        0.859958E+01        0.859875E+01        0.000000E+00        0.965750E-03
  20180329        0.648083E-04        0.758458E-03        0.162458E-03        0.433125E+00        0.144042E-02        0.158042E-02        0.490500E-04        0.738417E-12        0.128000E-02        0.139792E-02        0.469375E-02        0.886000E+00        0.843750E-01       -0.206204E-16        0.857667E+01        0.857542E+01        0.000000E+00        0.964958E-03
