 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon               kPOM1               kPOM2                kMOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    201007        0.314042E-05        0.110387E-03        0.326663E-05        0.106547E+01        0.299098E-01        0.318241E-01        0.179957E-04        0.209897E-03        0.958800E-02        0.964625E-02        0.166138E+00        0.324574E+00        0.207372E+00        0.100000E+01        0.121151E-16        0.133125E+01        0.133132E+01        0.182806E-03        0.122095E-03        0.278839E+02        0.859935E-01       -0.265903E-01        0.640000E+01
    201008        0.321337E-05        0.104938E-03        0.350414E-05        0.100194E+01        0.277434E-01        0.289863E-01        0.181816E-04        0.169886E-03        0.716657E-02        0.731290E-02        0.129504E+00        0.258185E+00        0.231053E+00        0.100000E+01        0.430107E-17        0.137215E+01        0.137218E+01        0.132697E-03        0.951010E-04        0.303290E+02        0.873355E-01       -0.261355E-01        0.640000E+01
    201009        0.326501E-05        0.117074E-03        0.393292E-05        0.129412E+01        0.141447E-01        0.188442E-01        0.765628E-04        0.987229E-05        0.465133E-02        0.475551E-02        0.116269E+00        0.329076E+00        0.417905E-01        0.100000E+01       -0.732194E-17        0.139283E+01        0.139286E+01        0.112067E-03        0.880987E-04        0.254300E+02        0.133867E+00       -0.108257E-01        0.640000E+01
    201010        0.330165E-05        0.137501E-03        0.444277E-05        0.634801E+00        0.307690E-01        0.305140E-01        0.202222E-04        0.955473E-04        0.613513E-02        0.581128E-02        0.316163E+00        0.238984E+00        0.217608E+00        0.100000E+01       -0.359306E-17        0.140000E+01        0.140000E+01        0.796516E-04        0.784395E-04        0.180774E+02        0.846839E-01       -0.294935E-01        0.640000E+01
    201011        0.320843E-05        0.145746E-03        0.453956E-05        0.246747E+00        0.277804E-01        0.273571E-01        0.178518E-04        0.472533E-04        0.394451E-02        0.388487E-02        0.379408E+00        0.143669E+00        0.269539E+00        0.100000E+01       -0.381600E-17        0.139457E+01        0.139456E+01        0.216800E-04        0.447342E-04        0.137743E+02        0.818500E-01       -0.291233E-01        0.640000E+01
    201012        0.265884E-05        0.126330E-03        0.380661E-05        0.180320E-01        0.520198E-01        0.445900E-01        0.149645E-04        0.686460E-05        0.104199E-02        0.899534E-03        0.751169E+00        0.233122E-01        0.128918E+00        0.100000E+01        0.383945E-18        0.138022E+01        0.138020E+01        0.777742E-05        0.959541E-05        0.106539E+02        0.503903E-01       -0.120306E+00        0.640000E+01
    201101        0.240172E-05        0.118581E-03        0.347827E-05        0.143388E-04        0.536854E-01        0.507906E-01        0.146613E-04        0.762185E-08        0.171940E-04        0.212152E-05        0.868034E+00        0.495298E-04       -0.306752E+02        0.100000E+01        0.618010E-17        0.138785E+01        0.138786E+01        0.618761E-05        0.216976E-06        0.863226E+01        0.454935E-01       -0.122755E+00        0.640000E+01
    201102        0.254488E-05        0.124338E-03        0.372519E-05        0.351658E-01        0.476982E-01        0.612112E-01        0.253835E-04        0.511835E-05        0.166201E-02        0.200841E-02        0.850769E+00        0.370407E-01       -0.172456E+01        0.100000E+01        0.555915E-17        0.138933E+01        0.138932E+01        0.118714E-04        0.225478E-04        0.109254E+02        0.818679E-01       -0.308643E-01        0.640000E+01
    201103        0.214788E-05        0.889165E-04        0.296175E-05        0.127084E+00        0.636512E-01        0.614054E-01        0.152251E-04        0.499870E-04        0.568905E-02        0.544140E-02        0.629103E+00        0.103151E+00        0.266168E+00        0.100000E+01       -0.273499E-17        0.136241E+01        0.136238E+01        0.277419E-04        0.613902E-04        0.175290E+02        0.544032E-01       -0.109971E+00        0.640000E+01
    201104        0.233125E-05        0.840006E-04        0.316193E-05        0.955577E+00        0.249287E-01        0.308617E-01        0.816686E-04        0.122556E-04        0.426735E-02        0.478597E-02        0.217034E+00        0.261517E+00        0.133817E+00        0.100000E+01       -0.255085E-17        0.135315E+01        0.135315E+01        0.737067E-04        0.743343E-04        0.236600E+02        0.130313E+00       -0.146010E-01        0.640000E+01
    201105        0.255321E-05        0.868863E-04        0.359579E-05        0.137243E+01        0.169176E-01        0.220266E-01        0.824211E-04        0.264038E-04        0.598767E-02        0.583565E-02        0.143500E+00        0.365265E+00        0.115216E-01        0.100000E+01       -0.226496E-17        0.136891E+01        0.136895E+01        0.153806E-03        0.111455E-03        0.243129E+02        0.130613E+00       -0.123058E-01        0.640000E+01
    201106        0.278769E-05        0.751231E-04        0.377465E-05        0.129708E+01        0.207360E-01        0.265329E-01        0.364879E-04        0.329928E-04        0.600311E-02        0.589171E-02        0.931586E-01        0.288085E+00        0.277673E-01        0.100000E+01        0.137355E-16        0.140362E+01        0.140367E+01        0.139817E-03        0.994472E-04        0.343733E+02        0.114327E+00       -0.148833E-01        0.640000E+01
    201107        0.211996E-05        0.488164E-04        0.259350E-05        0.343219E+00        0.719306E-01        0.706551E-01        0.149020E-04        0.130809E-03        0.446706E-02        0.421079E-02        0.196532E+00        0.880506E-01        0.240747E+00        0.100000E+01       -0.495137E-17        0.142184E+01        0.142185E+01        0.615968E-04        0.469786E-04        0.374710E+02        0.434516E-01       -0.118988E+01        0.640000E+01
    201108        0.193165E-05        0.462345E-04        0.242421E-05        0.114757E+00        0.930845E-01        0.952539E-01        0.146000E-04        0.641735E-04        0.365874E-02        0.372926E-02        0.311630E+00        0.391974E-01        0.246718E+00        0.100000E+01        0.736008E-17        0.143371E+01        0.143372E+01        0.554355E-04        0.400500E-04        0.357226E+02        0.320387E-01       -0.413258E+00        0.640000E+01
    201109        0.206014E-05        0.614951E-04        0.294065E-05        0.102909E+00        0.869788E-01        0.881880E-01        0.146167E-04        0.549551E-04        0.435922E-02        0.440643E-02        0.456850E+00        0.498976E-01        0.254799E+00        0.100000E+01        0.494752E-17        0.144625E+01        0.144626E+01        0.677200E-04        0.490072E-04        0.283367E+02        0.437067E-01       -0.132317E+00        0.640000E+01
    201110        0.218141E-05        0.782325E-04        0.341183E-05        0.111166E+00        0.627694E-01        0.648460E-01        0.164102E-04        0.347349E-04        0.400657E-02        0.416624E-02        0.522646E+00        0.708194E-01        0.261995E+00        0.100000E+01        0.406864E-17        0.145427E+01        0.145429E+01        0.527839E-04        0.480192E-04        0.211065E+02        0.680613E-01       -0.467323E-01        0.640000E+01
    201111        0.222604E-05        0.912200E-04        0.370511E-05        0.655111E+00        0.137693E-01        0.147044E-01        0.206578E-04        0.444862E-04        0.310228E-02        0.326924E-02        0.187135E+00        0.235504E+00        0.268389E+00        0.100000E+01        0.275983E-17        0.144997E+01        0.144994E+01        0.290933E-04        0.456065E-04        0.147033E+02        0.960100E-01       -0.211233E-01        0.640000E+01
    201112        0.217995E-05        0.984392E-04        0.382364E-05        0.156168E+00        0.333735E-01        0.292079E-01        0.162918E-04        0.301246E-04        0.236022E-02        0.203637E-02        0.504472E+00        0.924395E-01        0.267004E+00        0.100000E+01       -0.101104E-16        0.143394E+01        0.143392E+01        0.849419E-05        0.253314E-04        0.103326E+02        0.741903E-01       -0.368323E-01        0.640000E+01
    201201        0.191937E-05        0.854824E-04        0.334421E-05        0.110628E-02        0.539466E-01        0.503968E-01        0.153371E-04        0.481331E-06        0.125862E-03        0.975628E-04        0.811534E+00        0.210851E-02       -0.177565E+00        0.100000E+01        0.153325E-17        0.143417E+01        0.143418E+01        0.125755E-04        0.127644E-05        0.109010E+02        0.607516E-01       -0.576710E-01        0.640000E+01
    201202        0.189193E-05        0.839329E-04        0.329300E-05        0.142422E+00        0.346866E-01        0.440237E-01        0.365188E-04        0.315828E-05        0.164529E-02        0.211788E-02        0.707924E+00        0.761402E-01        0.220775E+00        0.100000E+01        0.148442E-17        0.143838E+01        0.143836E+01        0.146455E-04        0.270392E-04        0.112507E+02        0.962655E-01       -0.218828E-01        0.640000E+01
    201203        0.195391E-05        0.749363E-04        0.328852E-05        0.131510E+01        0.100692E-01        0.134552E-01        0.636708E-04        0.856662E-05        0.361696E-02        0.368807E-02        0.139804E+00        0.362320E+00        0.465469E-01        0.100000E+01       -0.169364E-16        0.142249E+01        0.142247E+01        0.661935E-04        0.782699E-04        0.175774E+02        0.130710E+00       -0.111645E-01        0.640000E+01
    201204        0.219075E-05        0.759008E-04        0.365601E-05        0.132365E+01        0.140582E-01        0.181712E-01        0.437703E-04        0.242749E-04        0.489585E-02        0.477914E-02        0.141957E+00        0.349458E+00        0.262380E-01        0.100000E+01       -0.767723E-17        0.143017E+01        0.143019E+01        0.127413E-03        0.975468E-04        0.217500E+02        0.118367E+00       -0.139267E-01        0.640000E+01
    201205        0.231737E-05        0.729024E-04        0.380140E-05        0.746546E+00        0.275104E-01        0.260405E-01        0.169664E-04        0.104151E-03        0.436497E-02        0.401423E-02        0.147109E+00        0.198596E+00        0.215419E+00        0.100000E+01       -0.110862E-16        0.144059E+01        0.144059E+01        0.569581E-04        0.561852E-04        0.264419E+02        0.832000E-01       -0.304387E-01        0.640000E+01
    201206        0.211747E-05        0.637017E-04        0.343099E-05        0.162411E+00        0.805101E-01        0.821767E-01        0.149335E-04        0.749592E-04        0.553503E-02        0.563193E-02        0.418139E+00        0.685033E-01        0.255268E+00        0.100000E+01        0.900879E-18        0.145733E+01        0.145738E+01        0.100453E-03        0.671022E-04        0.285300E+02        0.594500E-01       -0.581933E-01        0.640000E+01
    201207        0.200095E-05        0.544257E-04        0.312923E-05        0.188314E+00        0.827541E-01        0.836020E-01        0.147706E-04        0.862856E-04        0.485095E-02        0.488641E-02        0.318320E+00        0.584609E-01        0.249962E+00        0.100000E+01        0.511687E-17        0.147523E+01        0.147524E+01        0.793129E-04        0.609566E-04        0.332742E+02        0.564000E-01       -0.658194E-01        0.640000E+01
    201208        0.187060E-05        0.504020E-04        0.291601E-05        0.148342E+00        0.870122E-01        0.885085E-01        0.147000E-04        0.664802E-04        0.393993E-02        0.399364E-02        0.334386E+00        0.451242E-01        0.249145E+00        0.100000E+01        0.744362E-17        0.148771E+01        0.148774E+01        0.713968E-04        0.515886E-04        0.336516E+02        0.533000E-01       -0.753935E-01        0.640000E+01
    201209        0.184651E-05        0.554804E-04        0.302242E-05        0.215392E+00        0.644860E-01        0.659150E-01        0.156510E-04        0.656654E-04        0.417724E-02        0.425306E-02        0.315368E+00        0.675097E-01        0.254001E+00        0.100000E+01        0.929057E-17        0.150047E+01        0.150049E+01        0.695867E-04        0.577739E-04        0.291333E+02        0.660133E-01       -0.520400E-01        0.640000E+01
    201210        0.175448E-05        0.613511E-04        0.305438E-05        0.101045E+00        0.634855E-01        0.628944E-01        0.153891E-04        0.339745E-04        0.307395E-02        0.303586E-02        0.485284E+00        0.486487E-01        0.259418E+00        0.100000E+01        0.102656E-16        0.151000E+01        0.151000E+01        0.502871E-04        0.412742E-04        0.222484E+02        0.651387E-01       -0.476968E-01        0.640000E+01
    201211        0.153606E-05        0.571551E-04        0.271651E-05        0.200215E-01        0.727419E-01        0.706008E-01        0.147133E-04        0.820173E-05        0.114976E-02        0.111067E-02        0.687139E+00        0.153389E-01        0.248050E+00        0.100000E+01       -0.519846E-17        0.151408E+01        0.151410E+01        0.250833E-04        0.148497E-04        0.186267E+02        0.510467E-01       -0.860633E-01        0.640000E+01
    201212        0.151723E-05        0.629832E-04        0.282122E-05        0.339852E-02        0.645815E-01        0.640296E-01        0.154434E-04        0.121667E-05        0.398929E-03        0.382204E-03        0.817581E+00        0.589394E-02        0.226206E+00        0.100000E+01       -0.460982E-17        0.152000E+01        0.152000E+01        0.817677E-05        0.512973E-05        0.141884E+02        0.630839E-01       -0.516548E-01        0.640000E+01
    201301        0.137477E-05        0.610402E-04        0.261910E-05        0.189629E-03        0.580472E-01        0.544555E-01        0.149871E-04        0.714078E-07        0.451625E-04        0.271089E-04        0.876208E+00        0.565776E-03       -0.973810E+00        0.100000E+01       -0.466867E-17        0.152000E+01        0.152000E+01        0.419129E-05        0.589184E-06        0.107042E+02        0.580097E-01       -0.622129E-01        0.640000E+01
    201302        0.134222E-05        0.582318E-04        0.253894E-05        0.186450E-02        0.529952E-01        0.614424E-01        0.206607E-04        0.215094E-06        0.303366E-03        0.345578E-03        0.893164E+00        0.671286E-02       -0.834819E-01        0.100000E+01       -0.275277E-17        0.152833E+01        0.152835E+01        0.671929E-05        0.456221E-05        0.120096E+02        0.775536E-01       -0.337679E-01        0.640000E+01
    201303        0.135259E-05        0.551813E-04        0.251023E-05        0.862910E+00        0.177331E-01        0.222756E-01        0.319351E-04        0.184900E-04        0.349829E-02        0.393907E-02        0.309313E+00        0.253751E+00        0.171807E+00        0.100000E+01        0.755414E-17        0.150325E+01        0.150319E+01        0.139694E-04        0.719840E-04        0.149500E+02        0.107000E+00       -0.171516E-01        0.640000E+01
    201304        0.158885E-05        0.618926E-04        0.294606E-05        0.134674E+01        0.767519E-02        0.104253E-01        0.838999E-04        0.402547E-05        0.254047E-02        0.252657E-02        0.110374E+00        0.331396E+00        0.175500E-01        0.100000E+01       -0.514381E-17        0.147700E+01        0.147700E+01        0.518533E-04        0.608387E-04        0.171967E+02        0.144800E+00       -0.910533E-02        0.640000E+01
    201305        0.185589E-05        0.684780E-04        0.341535E-05        0.145559E+01        0.119354E-01        0.165753E-01        0.212504E-03        0.289291E-06        0.427121E-02        0.411140E-02        0.146020E+00        0.368872E+00       -0.358458E-01        0.100000E+01        0.250621E-16        0.148758E+01        0.148761E+01        0.130161E-03        0.985849E-04        0.197677E+02        0.189710E+00       -0.448677E-02        0.640000E+01
    201306        0.212501E-05        0.712146E-04        0.380692E-05        0.142762E+01        0.198413E-01        0.272965E-01        0.294224E-03        0.160812E-06        0.749749E-02        0.722672E-02        0.169774E+00        0.383582E+00       -0.369308E-01        0.100000E+01       -0.265566E-16        0.152276E+01        0.152283E+01        0.211933E-03        0.146786E-03        0.250567E+02        0.197900E+00       -0.386067E-02        0.640000E+01
    201307        0.234809E-05        0.783258E-04        0.422442E-05        0.138960E+01        0.176175E-01        0.240340E-01        0.213862E-03        0.934505E-06        0.700308E-02        0.689332E-02        0.134810E+00        0.402024E+00       -0.153424E-01        0.100000E+01       -0.160808E-16        0.156168E+01        0.156172E+01        0.158032E-03        0.117291E-03        0.267645E+02        0.175516E+00       -0.560613E-02        0.640000E+01
    201308        0.252794E-05        0.880763E-04        0.464175E-05        0.136409E+01        0.185840E-01        0.250913E-01        0.130981E-03        0.701500E-05        0.810044E-02        0.796999E-02        0.146288E+00        0.436077E+00       -0.101385E-01        0.100000E+01        0.264798E-16        0.159324E+01        0.159328E+01        0.163387E-03        0.125591E-03        0.262645E+02        0.144516E+00       -0.902613E-02        0.640000E+01
    201309        0.266961E-05        0.948164E-04        0.495190E-05        0.127364E+01        0.155136E-01        0.196851E-01        0.355539E-04        0.486761E-04        0.644410E-02        0.641299E-02        0.110872E+00        0.415010E+00        0.556231E-01        0.100000E+01       -0.269365E-16        0.161000E+01        0.161000E+01        0.923200E-04        0.874065E-04        0.268567E+02        0.113983E+00       -0.150100E-01        0.640000E+01
    201310        0.265621E-05        0.110245E-03        0.524731E-05        0.504142E+00        0.396173E-01        0.383211E-01        0.167691E-04        0.146162E-03        0.783744E-02        0.742218E-02        0.350487E+00        0.244163E+00        0.246841E+00        0.100000E+01       -0.789487E-17        0.160356E+01        0.160355E+01        0.548065E-04        0.685882E-04        0.204677E+02        0.769000E-01       -0.352548E-01        0.640000E+01
    201311        0.262531E-05        0.124300E-03        0.544563E-05        0.514036E+00        0.196693E-01        0.221696E-01        0.218083E-04        0.519765E-04        0.477636E-02        0.535393E-02        0.277397E+00        0.285882E+00        0.270332E+00        0.100000E+01       -0.591158E-17        0.158969E+01        0.158967E+01        0.234800E-04        0.519842E-04        0.142607E+02        0.944800E-01       -0.219100E-01        0.640000E+01
    201312        0.261358E-05        0.140730E-03        0.571565E-05        0.356556E+00        0.252977E-01        0.222626E-01        0.173245E-04        0.710063E-04        0.520247E-02        0.464337E-02        0.461169E+00        0.254931E+00        0.275910E+00        0.100000E+01        0.185301E-16        0.156089E+01        0.156085E+01        0.610677E-05        0.462196E-04        0.822968E+01        0.803710E-01       -0.315065E-01        0.640000E+01
    201401        0.235183E-05        0.126371E-03        0.513472E-05        0.266527E-02        0.495052E-01        0.447903E-01        0.155161E-04        0.151052E-05        0.522957E-03        0.435970E-03        0.862223E+00        0.113212E-01        0.193091E+00        0.100000E+01       -0.833787E-17        0.155000E+01        0.155000E+01        0.877613E-05        0.337018E-05        0.864548E+01        0.649290E-01       -0.478065E-01        0.640000E+01
    201402        0.224226E-05        0.117079E-03        0.482857E-05        0.260459E-02        0.468323E-01        0.530970E-01        0.210155E-04        0.569793E-06        0.732545E-03        0.854959E-03        0.901083E+00        0.152776E-01        0.179467E+00        0.100000E+01       -0.331312E-17        0.155118E+01        0.155118E+01        0.793750E-05        0.651884E-05        0.101882E+02        0.796393E-01       -0.312143E-01        0.640000E+01
    201403        0.213964E-05        0.999788E-04        0.440706E-05        0.527259E+00        0.276285E-01        0.301718E-01        0.200902E-04        0.989226E-04        0.767876E-02        0.821374E-02        0.393258E+00        0.298595E+00        0.270181E+00        0.100000E+01        0.684789E-17        0.152597E+01        0.152590E+01        0.189500E-04        0.859004E-04        0.150903E+02        0.869000E-01       -0.257613E-01        0.640000E+01
    201404        0.223875E-05        0.929093E-04        0.441881E-05        0.120884E+01        0.111692E-01        0.140636E-01        0.359319E-04        0.335449E-04        0.449703E-02        0.467817E-02        0.129720E+00        0.402092E+00        0.111322E+00        0.100000E+01        0.371190E-18        0.149739E+01        0.149739E+01        0.647333E-04        0.725881E-04        0.194600E+02        0.114947E+00       -0.147167E-01        0.640000E+01
    201405        0.243856E-05        0.940043E-04        0.469583E-05        0.129090E+01        0.147910E-01        0.187897E-01        0.327554E-04        0.426320E-04        0.610868E-02        0.599492E-02        0.151503E+00        0.412939E+00        0.495740E-01        0.100000E+01       -0.935456E-17        0.150714E+01        0.150716E+01        0.126452E-03        0.100825E-03        0.214935E+02        0.110935E+00       -0.156355E-01        0.640000E+01
    201406        0.262783E-05        0.875149E-04        0.480558E-05        0.124632E+01        0.236021E-01        0.290812E-01        0.287248E-04        0.816535E-04        0.860706E-02        0.859399E-02        0.155722E+00        0.366037E+00        0.756304E-01        0.100000E+01        0.137856E-16        0.153322E+01        0.153328E+01        0.185700E-03        0.130306E-03        0.275767E+02        0.103827E+00       -0.182867E-01        0.640000E+01
    201407        0.258887E-05        0.839488E-04        0.470024E-05        0.537988E+00        0.634573E-01        0.629544E-01        0.153179E-04        0.231583E-03        0.109984E-01        0.107984E-01        0.310564E+00        0.195007E+00        0.252431E+00        0.100000E+01        0.368189E-17        0.157743E+01        0.157747E+01        0.172290E-03        0.122028E-03        0.287613E+02        0.649677E-01       -0.503226E-01        0.640000E+01
    201408        0.239114E-05        0.763304E-04        0.430542E-05        0.213069E+00        0.808976E-01        0.815599E-01        0.147935E-04        0.114938E-03        0.764704E-02        0.769610E-02        0.393309E+00        0.941454E-01        0.255253E+00        0.100000E+01        0.419107E-17        0.160606E+01        0.160609E+01        0.107474E-03        0.838315E-04        0.292839E+02        0.558258E-01       -0.682935E-01        0.640000E+01
    201409        0.246788E-05        0.833868E-04        0.455589E-05        0.564285E+00        0.351904E-01        0.375904E-01        0.179189E-04        0.737206E-04        0.462822E-02        0.496690E-02        0.199936E+00        0.164353E+00        0.256781E+00        0.100000E+01       -0.177115E-16        0.161000E+01        0.161000E+01        0.590700E-04        0.616821E-04        0.270633E+02        0.848433E-01       -0.285967E-01        0.640000E+01
    201410        0.243542E-05        0.959977E-04        0.477564E-05        0.346448E+00        0.385413E-01        0.377566E-01        0.165484E-04        0.802775E-04        0.487841E-02        0.471349E-02        0.347450E+00        0.136850E+00        0.263771E+00        0.100000E+01        0.276245E-16        0.160446E+01        0.160445E+01        0.507419E-04        0.595727E-04        0.200548E+02        0.765452E-01       -0.336290E-01        0.640000E+01
    201411        0.237856E-05        0.105257E-03        0.486499E-05        0.440774E+00        0.169197E-01        0.184182E-01        0.209042E-04        0.301815E-04        0.273660E-02        0.297111E-02        0.234804E+00        0.177117E+00        0.268071E+00        0.100000E+01        0.202677E-16        0.159404E+01        0.159401E+01        0.126693E-04        0.395747E-04        0.143767E+02        0.944800E-01       -0.219100E-01        0.640000E+01
    201412        0.234059E-05        0.114048E-03        0.497870E-05        0.294133E+00        0.256050E-01        0.226349E-01        0.172610E-04        0.401015E-04        0.305282E-02        0.274036E-02        0.410354E+00        0.150339E+00        0.271856E+00        0.100000E+01        0.700277E-17        0.157054E+01        0.157051E+01        0.570161E-05        0.364904E-04        0.978226E+01        0.803710E-01       -0.315065E-01        0.640000E+01
    201501        0.210723E-05        0.103057E-03        0.448793E-05        0.304702E-02        0.502231E-01        0.458935E-01        0.154954E-04        0.114039E-05        0.292436E-03        0.241310E-03        0.812372E+00        0.602385E-02        0.138731E+00        0.100000E+01        0.650332E-17        0.156000E+01        0.156000E+01        0.524813E-05        0.292003E-05        0.981000E+01        0.649290E-01       -0.478065E-01        0.640000E+01
    201502        0.202159E-05        0.989455E-04        0.429872E-05        0.227562E-02        0.449345E-01        0.506158E-01        0.206467E-04        0.345289E-06        0.372681E-03        0.415701E-03        0.887266E+00        0.840393E-02        0.183295E+00        0.100000E+01        0.448546E-17        0.156874E+01        0.156875E+01        0.136068E-04        0.482459E-05        0.978214E+01        0.796393E-01       -0.312143E-01        0.640000E+01
    201503        0.192974E-05        0.797220E-04        0.383761E-05        0.598325E+00        0.294426E-01        0.325887E-01        0.200000E-04        0.737864E-04        0.575011E-02        0.616067E-02        0.371949E+00        0.217916E+00        0.265433E+00        0.100000E+01        0.164556E-16        0.155223E+01        0.155219E+01        0.471726E-04        0.885737E-04        0.175548E+02        0.869000E-01       -0.257613E-01        0.640000E+01
    201504        0.207856E-05        0.773919E-04        0.398328E-05        0.123927E+01        0.145337E-01        0.186278E-01        0.417157E-04        0.230757E-04        0.458374E-02        0.469211E-02        0.152982E+00        0.313508E+00        0.869989E-01        0.100000E+01        0.202625E-16        0.154297E+01        0.154299E+01        0.120580E-03        0.981593E-04        0.210533E+02        0.114947E+00       -0.147167E-01        0.640000E+01
    201505        0.231778E-05        0.799384E-04        0.432724E-05        0.134509E+01        0.202824E-01        0.269698E-01        0.932956E-04        0.150679E-04        0.671716E-02        0.661444E-02        0.185706E+00        0.332143E+00        0.968762E-02        0.100000E+01        0.236790E-17        0.157880E+01        0.157887E+01        0.212452E-03        0.147510E-03        0.237032E+02        0.128774E+00       -0.120132E-01        0.640000E+01
