 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day                 VP1                 VP2                  VM                 KP1                 KP2                  KM                Qmax                 Kba                Kdes                Kads                rEP1                rEP2                 rEM                 pEP                 pEM                  fD                  gD                  Vg               alpha                  Vm                  KD                  Yg                wdie               gamma               rMORT                beta             Vm_dorm               VmA2D               VmD2A             SWP_A2D                 tau             SWP_D2A               wdorm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
  20180111        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180112        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180113        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180114        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180115        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180116        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180117        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180118        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180119        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180120        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180121        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180122        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180123        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180124        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180125        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180126        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180127        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180128        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180129        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180130        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180131        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180201        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180202        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180203        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180204        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180205        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180206        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180207        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180208        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180209        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180210        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180211        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180212        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180213        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180214        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180215        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180216        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180217        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
  20180218        0.665000E+00        0.241000E+02        0.902000E+01        0.123000E+03        0.738000E+01        0.605000E+03        0.250000E+01        0.600000E+01        0.689000E-02        0.373000E-01        0.100000E-01        0.100000E-01        0.100000E-01        0.131000E-01        0.131000E-01        0.500000E+00        0.500000E+00        0.691000E-01        0.133000E+00        0.881000E-02        0.615000E+00        0.232000E+00        0.318000-313        0.100000E+01        0.834000E-13        0.100000E-02        0.768000E-05        0.956000E-13        0.881000E-02        0.400000E+00        0.250000E+00        0.100000E+00        0.400000E+01
