 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOC1               kPOC2                kMOC                kDOC                kMBa             kMBa_in                kMBd             kMBd_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE       Balance_Error              TOCbeg              TOCend              TOCinp              TOCout                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  20180111        0.960167E-06        0.912083E-03        0.853125E-05        0.393542E-01        0.152750E-01        0.205292E-01        0.521875E-03        0.492708E-13        0.540667E-02        0.692750E-02        0.583417E-01        0.353458E+00        0.219000E+00       -0.474813E-16        0.108000E+02        0.108000E+02        0.000000E+00        0.115250E-02
  20180112        0.107042E-05        0.103487E-02        0.969083E-05        0.445792E-01        0.154042E-01        0.206000E-01        0.526083E-03        0.564958E-13        0.594375E-02        0.761583E-02        0.588167E-01        0.385458E+00        0.219917E+00       -0.670875E-16        0.107500E+02        0.107458E+02        0.000000E+00        0.131625E-02
  20180113        0.120583E-05        0.117417E-02        0.110083E-04        0.503958E-01        0.155000E-01        0.206000E-01        0.528625E-03        0.646875E-13        0.647708E-02        0.830083E-02        0.591167E-01        0.418042E+00        0.220000E+00        0.131375E-15        0.107000E+02        0.107000E+02        0.000000E+00        0.149583E-02
  20180114        0.136667E-05        0.133167E-02        0.124708E-04        0.568792E-01        0.155000E-01        0.205125E-01        0.529000E-03        0.739458E-13        0.699250E-02        0.896208E-02        0.591792E-01        0.450917E+00        0.220000E+00       -0.954167E-16        0.107000E+02        0.107000E+02        0.000000E+00        0.169000E-02
  20180115        0.155792E-05        0.151000E-02        0.141167E-04        0.640792E-01        0.154458E-01        0.203542E-01        0.527292E-03        0.843625E-13        0.747250E-02        0.957708E-02        0.589583E-01        0.483625E+00        0.220000E+00       -0.143906E-15        0.106167E+02        0.106125E+02        0.000000E+00        0.189583E-02
  20180116        0.178500E-05        0.170958E-02        0.159333E-04        0.720333E-01        0.153083E-01        0.201083E-01        0.522708E-03        0.960375E-13        0.790083E-02        0.101250E-01        0.584333E-01        0.515958E+00        0.220000E+00        0.152200E-15        0.106000E+02        0.106000E+02        0.000000E+00        0.211125E-02
  20180117        0.204333E-05        0.193125E-02        0.179583E-04        0.807708E-01        0.150958E-01        0.197667E-01        0.515333E-03        0.109083E-12        0.826292E-02        0.105875E-01        0.575958E-01        0.547292E+00        0.220000E+00       -0.135354E-15        0.105208E+02        0.105167E+02        0.000000E+00        0.233083E-02
  20180118        0.234833E-05        0.217792E-02        0.201792E-04        0.902958E-01        0.147833E-01        0.193208E-01        0.504958E-03        0.123375E-12        0.854250E-02        0.109417E-01        0.564208E-01        0.577375E+00        0.219083E+00       -0.200646E-15        0.104917E+02        0.104875E+02        0.000000E+00        0.254917E-02
  20180119        0.270083E-05        0.244583E-02        0.226458E-04        0.100617E+00        0.144000E-01        0.187667E-01        0.491708E-03        0.139125E-12        0.872958E-02        0.111708E-01        0.549167E-01        0.606083E+00        0.219000E+00       -0.129292E-16        0.104000E+02        0.104000E+02        0.000000E+00        0.276000E-02
  20180120        0.310958E-05        0.273750E-02        0.253125E-04        0.111667E+00        0.139250E-01        0.180958E-01        0.475458E-03        0.156292E-12        0.881333E-02        0.113000E-01        0.530750E-01        0.632917E+00        0.218875E+00       -0.892083E-16        0.103417E+02        0.103375E+02        0.000000E+00        0.295375E-02
  20180121        0.357917E-05        0.305000E-02        0.282042E-04        0.123500E+00        0.133708E-01        0.173375E-01        0.456375E-03        0.174625E-12        0.879417E-02        0.112542E-01        0.509208E-01        0.657500E+00        0.218000E+00       -0.350417E-16        0.102750E+02        0.102708E+02        0.000000E+00        0.312458E-02
  20180122        0.412042E-05        0.337750E-02        0.313000E-04        0.135708E+00        0.127250E-01        0.164750E-01        0.434667E-03        0.194042E-12        0.866667E-02        0.110750E-01        0.484500E-01        0.680667E+00        0.217458E+00        0.362083E-16        0.102000E+02        0.102000E+02        0.000000E+00        0.326083E-02
  20180123        0.473833E-05        0.371625E-02        0.345917E-04        0.148417E+00        0.120292E-01        0.155333E-01        0.410500E-03        0.214458E-12        0.843542E-02        0.107708E-01        0.457167E-01        0.701333E+00        0.216625E+00        0.995000E-16        0.101042E+02        0.101000E+02        0.000000E+00        0.335667E-02
  20180124        0.544167E-05        0.405750E-02        0.380583E-04        0.161458E+00        0.112667E-01        0.145125E-01        0.384583E-03        0.235500E-12        0.811167E-02        0.103417E-01        0.427667E-01        0.719917E+00        0.215583E+00       -0.802458E-16        0.100288E+02        0.100242E+02        0.000000E+00        0.340417E-02
  20180125        0.623417E-05        0.439167E-02        0.416500E-04        0.174542E+00        0.104583E-01        0.134417E-01        0.357125E-03        0.256875E-12        0.770625E-02        0.980833E-02        0.396500E-01        0.736542E+00        0.214375E+00        0.462458E-16        0.995167E+01        0.994833E+01        0.000000E+00        0.340125E-02
  20180126        0.712417E-05        0.470625E-02        0.453375E-04        0.187542E+00        0.963125E-02        0.123458E-01        0.328792E-03        0.278292E-12        0.723667E-02        0.919167E-02        0.364333E-01        0.751083E+00        0.212708E+00        0.674287E-16        0.986875E+01        0.986542E+01        0.000000E+00        0.334708E-02
  20180127        0.810833E-05        0.498917E-02        0.490875E-04        0.200167E+00        0.879875E-02        0.112417E-01        0.300333E-03        0.299250E-12        0.672208E-02        0.851917E-02        0.332000E-01        0.763958E+00        0.210917E+00       -0.177333E-15        0.979083E+01        0.978750E+01        0.000000E+00        0.324417E-02
  20180128        0.918708E-05        0.522917E-02        0.528417E-04        0.212417E+00        0.798083E-02        0.101667E-01        0.272375E-03        0.319625E-12        0.618500E-02        0.781792E-02        0.300292E-01        0.775000E+00        0.208750E+00        0.124125E-15        0.971375E+01        0.971083E+01        0.000000E+00        0.310250E-02
  20180129        0.103500E-04        0.541625E-02        0.565667E-04        0.223792E+00        0.719542E-02        0.913250E-02        0.245583E-03        0.338958E-12        0.564625E-02        0.711250E-02        0.269875E-01        0.784583E+00        0.206083E+00       -0.127125E-15        0.964167E+01        0.963875E+01        0.000000E+00        0.292958E-02
  20180130        0.116000E-04        0.554167E-02        0.602000E-04        0.234417E+00        0.646000E-02        0.816667E-02        0.220500E-03        0.357125E-12        0.512292E-02        0.642875E-02        0.241542E-01        0.792750E+00        0.203042E+00       -0.810042E-16        0.957333E+01        0.957042E+01        0.000000E+00        0.273792E-02
  20180131        0.129083E-04        0.560167E-02        0.637250E-04        0.244333E+00        0.578833E-02        0.728208E-02        0.197458E-03        0.374000E-12        0.463083E-02        0.578542E-02        0.215500E-01        0.799875E+00        0.199583E+00        0.899583E-16        0.951000E+01        0.950750E+01        0.000000E+00        0.253833E-02
  20180201        0.142708E-04        0.559792E-02        0.670833E-04        0.253250E+00        0.518417E-02        0.648958E-02        0.176875E-03        0.389417E-12        0.417875E-02        0.519542E-02        0.191958E-01        0.805833E+00        0.195667E+00        0.869208E-16        0.945125E+01        0.944875E+01        0.000000E+00        0.233958E-02
  20180202        0.156458E-04        0.553167E-02        0.702708E-04        0.261375E+00        0.465250E-02        0.579000E-02        0.158667E-03        0.403500E-12        0.377375E-02        0.466583E-02        0.171333E-01        0.811083E+00        0.191250E+00       -0.950000E-16        0.939750E+01        0.939542E+01        0.000000E+00        0.215042E-02
  20180203        0.170292E-04        0.541375E-02        0.732667E-04        0.268583E+00        0.418917E-02        0.518250E-02        0.142833E-03        0.416167E-12        0.341708E-02        0.420167E-02        0.153458E-01        0.815458E+00        0.186583E+00        0.111808E-16        0.934792E+01        0.934583E+01        0.000000E+00        0.197542E-02
  20180204        0.184042E-04        0.525125E-02        0.760583E-04        0.275042E+00        0.379250E-02        0.466250E-02        0.129208E-03        0.427708E-12        0.310875E-02        0.379792E-02        0.137958E-01        0.819333E+00        0.181542E+00        0.222567E-15        0.930250E+01        0.930083E+01        0.000000E+00        0.181792E-02
  20180205        0.197458E-04        0.505458E-02        0.786375E-04        0.280917E+00        0.345542E-02        0.422042E-02        0.117833E-03        0.438083E-12        0.284500E-02        0.345208E-02        0.125000E-01        0.822625E+00        0.176333E+00       -0.567083E-16        0.926000E+01        0.925833E+01        0.000000E+00        0.167792E-02
  20180206        0.210333E-04        0.483333E-02        0.810167E-04        0.286083E+00        0.317000E-02        0.384583E-02        0.108042E-03        0.447417E-12        0.261792E-02        0.315708E-02        0.113917E-01        0.825500E+00        0.170875E+00        0.804000E-16        0.922167E+01        0.922000E+01        0.000000E+00        0.155625E-02
  20180207        0.222917E-04        0.459500E-02        0.832042E-04        0.290875E+00        0.292917E-02        0.353125E-02        0.998875E-04        0.455833E-12        0.242667E-02        0.290792E-02        0.104583E-01        0.828083E+00        0.165458E+00       -0.177658E-15        0.918500E+01        0.918375E+01        0.000000E+00        0.145125E-02
  20180208        0.234458E-04        0.435500E-02        0.852042E-04        0.295125E+00        0.272625E-02        0.326542E-02        0.929042E-04        0.463625E-12        0.226500E-02        0.269667E-02        0.966833E-02        0.830292E+00        0.160125E+00       -0.397375E-16        0.915208E+01        0.915042E+01        0.000000E+00        0.136042E-02
  20180209        0.245542E-04        0.411500E-02        0.870417E-04        0.298917E+00        0.255500E-02        0.304167E-02        0.870750E-04        0.470708E-12        0.212750E-02        0.251792E-02        0.900792E-02        0.832417E+00        0.154792E+00       -0.445583E-16        0.912000E+01        0.911875E+01        0.000000E+00        0.128375E-02
  20180210        0.255875E-04        0.387500E-02        0.887125E-04        0.302500E+00        0.241083E-02        0.285167E-02        0.821458E-04        0.477208E-12        0.201250E-02        0.236667E-02        0.844792E-02        0.834250E+00        0.149708E+00       -0.129375E-15        0.909000E+01        0.908875E+01        0.000000E+00        0.121750E-02
  20180211        0.265500E-04        0.364333E-02        0.902458E-04        0.305667E+00        0.228708E-02        0.269042E-02        0.779250E-04        0.483250E-12        0.191333E-02        0.223750E-02        0.797042E-02        0.835833E+00        0.144833E+00        0.155033E-15        0.906125E+01        0.906042E+01        0.000000E+00        0.116042E-02
  20180212        0.274375E-04        0.342458E-02        0.916542E-04        0.308667E+00        0.218250E-02        0.255292E-02        0.743333E-04        0.488792E-12        0.182875E-02        0.212708E-02        0.756292E-02        0.837417E+00        0.140125E+00        0.536667E-16        0.903375E+01        0.903250E+01        0.000000E+00        0.111125E-02
  20180213        0.282708E-04        0.321875E-02        0.929458E-04        0.311375E+00        0.209208E-02        0.243417E-02        0.712375E-04        0.494042E-12        0.175625E-02        0.203208E-02        0.721167E-02        0.838708E+00        0.135667E+00        0.636458E-16        0.900833E+01        0.900708E+01        0.000000E+00        0.106833E-02
  20180214        0.290292E-04        0.302667E-02        0.941375E-04        0.314000E+00        0.201417E-02        0.233208E-02        0.685708E-04        0.498917E-12        0.169292E-02        0.194917E-02        0.690833E-02        0.840125E+00        0.131500E+00       -0.563667E-16        0.898250E+01        0.898167E+01        0.000000E+00        0.103250E-02
  20180215        0.297292E-04        0.284792E-02        0.952292E-04        0.316375E+00        0.194583E-02        0.224250E-02        0.662333E-04        0.503625E-12        0.163792E-02        0.187750E-02        0.664500E-02        0.841333E+00        0.127500E+00        0.202917E-15        0.895833E+01        0.895750E+01        0.000000E+00        0.999500E-03
  20180216        0.303792E-04        0.268333E-02        0.962417E-04        0.318708E+00        0.188583E-02        0.216417E-02        0.641917E-04        0.508042E-12        0.159000E-02        0.181500E-02        0.641208E-02        0.842417E+00        0.123667E+00       -0.541000E-16        0.893458E+01        0.893333E+01        0.000000E+00        0.971542E-03
  20180217        0.309792E-04        0.253125E-02        0.971833E-04        0.320833E+00        0.183333E-02        0.209500E-02        0.623875E-04        0.512208E-12        0.154708E-02        0.175875E-02        0.620667E-02        0.843458E+00        0.120125E+00        0.110833E-15        0.891125E+01        0.891042E+01        0.000000E+00        0.946625E-03
  20180218        0.315333E-04        0.239250E-02        0.980667E-04        0.322833E+00        0.178625E-02        0.203333E-02        0.607875E-04        0.516208E-12        0.150958E-02        0.170917E-02        0.602458E-02        0.844458E+00        0.116750E+00       -0.110000E-16        0.888958E+01        0.888875E+01        0.000000E+00        0.924583E-03
  20180219        0.320458E-04        0.226500E-02        0.988833E-04        0.324792E+00        0.174375E-02        0.197833E-02        0.593500E-04        0.520083E-12        0.147542E-02        0.166542E-02        0.586208E-02        0.845417E+00        0.113542E+00        0.644167E-16        0.886708E+01        0.886625E+01        0.000000E+00        0.904917E-03
  20180220        0.325167E-04        0.214792E-02        0.996458E-04        0.326542E+00        0.170625E-02        0.192917E-02        0.580583E-04        0.523708E-12        0.144542E-02        0.162500E-02        0.571625E-02        0.846292E+00        0.110542E+00       -0.214208E-16        0.884625E+01        0.884500E+01        0.000000E+00        0.887167E-03
  20180221        0.329625E-04        0.204167E-02        0.100292E-03        0.328417E+00        0.167250E-02        0.188458E-02        0.569000E-04        0.527292E-12        0.141875E-02        0.158917E-02        0.558458E-02        0.847125E+00        0.107708E+00       -0.176428E-15        0.882458E+01        0.882375E+01        0.000000E+00        0.871292E-03
  20180222        0.333667E-04        0.194458E-02        0.101000E-03        0.330042E+00        0.164125E-02        0.184417E-02        0.558417E-04        0.530625E-12        0.139250E-02        0.155625E-02        0.546458E-02        0.848000E+00        0.104958E+00        0.218042E-15        0.880375E+01        0.880292E+01        0.000000E+00        0.856875E-03
  20180223        0.337542E-04        0.185583E-02        0.101792E-03        0.331583E+00        0.161292E-02        0.180667E-02        0.548792E-04        0.534000E-12        0.137042E-02        0.152667E-02        0.535542E-02        0.848875E+00        0.102333E+00       -0.973125E-17        0.878333E+01        0.878250E+01        0.000000E+00        0.843708E-03
  20180224        0.341083E-04        0.177375E-02        0.102167E-03        0.333250E+00        0.158792E-02        0.177375E-02        0.540000E-04        0.537208E-12        0.135000E-02        0.149958E-02        0.525542E-02        0.849542E+00        0.999250E-01       -0.904292E-16        0.876333E+01        0.876250E+01        0.000000E+00        0.831750E-03
  20180225        0.344458E-04        0.169917E-02        0.103000E-03        0.334625E+00        0.156333E-02        0.174250E-02        0.531875E-04        0.540250E-12        0.133083E-02        0.147500E-02        0.516375E-02        0.850167E+00        0.975833E-01        0.760792E-16        0.874333E+01        0.874250E+01        0.000000E+00        0.820833E-03
  20180226        0.347583E-04        0.163042E-02        0.103375E-03        0.336208E+00        0.154208E-02        0.171375E-02        0.524458E-04        0.543250E-12        0.131417E-02        0.145125E-02        0.507833E-02        0.851000E+00        0.953542E-01        0.328417E-16        0.872417E+01        0.872333E+01        0.000000E+00        0.810792E-03
  20180227        0.350542E-04        0.156750E-02        0.104000E-03        0.337542E+00        0.152208E-02        0.168792E-02        0.517542E-04        0.546208E-12        0.129625E-02        0.143083E-02        0.500083E-02        0.851667E+00        0.932208E-01        0.981250E-16        0.870500E+01        0.870417E+01        0.000000E+00        0.801583E-03
  20180228        0.353375E-04        0.150875E-02        0.104417E-03        0.338833E+00        0.150333E-02        0.166250E-02        0.511250E-04        0.549042E-12        0.128292E-02        0.141083E-02        0.492875E-02        0.852125E+00        0.911833E-01       -0.760417E-16        0.868542E+01        0.868500E+01        0.000000E+00        0.793167E-03
  20180301        0.356000E-04        0.145500E-02        0.105000E-03        0.340250E+00        0.148542E-02        0.164042E-02        0.505292E-04        0.551917E-12        0.126750E-02        0.139292E-02        0.486083E-02        0.853000E+00        0.892417E-01       -0.208271E-15        0.866625E+01        0.866542E+01        0.000000E+00        0.785250E-03
  20180302        0.358500E-04        0.140500E-02        0.105333E-03        0.341458E+00        0.146958E-02        0.161917E-02        0.499667E-04        0.554625E-12        0.125542E-02        0.137542E-02        0.479750E-02        0.853500E+00        0.873792E-01        0.191792E-15        0.864792E+01        0.864708E+01        0.000000E+00        0.777917E-03
  20180303        0.360917E-04        0.135917E-02        0.106000E-03        0.342625E+00        0.145458E-02        0.159917E-02        0.494542E-04        0.557250E-12        0.124375E-02        0.135958E-02        0.473917E-02        0.854000E+00        0.855958E-01       -0.187167E-15        0.862875E+01        0.862792E+01        0.000000E+00        0.771125E-03
  20180304        0.363208E-04        0.131625E-02        0.106042E-03        0.343792E+00        0.144042E-02        0.158083E-02        0.489708E-04        0.559875E-12        0.123250E-02        0.134500E-02        0.468458E-02        0.854792E+00        0.838875E-01        0.133483E-15        0.861083E+01        0.861000E+01        0.000000E+00        0.764792E-03
  20180305        0.365375E-04        0.127583E-02        0.107000E-03        0.345042E+00        0.142667E-02        0.156375E-02        0.485167E-04        0.562417E-12        0.122167E-02        0.133167E-02        0.463333E-02        0.855000E+00        0.822458E-01        0.105458E-15        0.859292E+01        0.859208E+01        0.000000E+00        0.758917E-03
  20180306        0.367500E-04        0.123833E-02        0.107000E-03        0.346208E+00        0.141458E-02        0.154625E-02        0.480917E-04        0.564917E-12        0.121167E-02        0.131750E-02        0.458500E-02        0.856000E+00        0.806792E-01       -0.639583E-16        0.857458E+01        0.857375E+01        0.000000E+00        0.753458E-03
  20180307        0.369500E-04        0.120375E-02        0.107583E-03        0.347292E+00        0.140292E-02        0.153250E-02        0.476917E-04        0.567333E-12        0.120208E-02        0.130542E-02        0.453958E-02        0.856125E+00        0.791708E-01       -0.822083E-17        0.855583E+01        0.855542E+01        0.000000E+00        0.748333E-03
  20180308        0.371458E-04        0.117083E-02        0.108000E-03        0.348333E+00        0.139208E-02        0.151667E-02        0.473167E-04        0.569833E-12        0.119333E-02        0.129417E-02        0.449708E-02        0.857000E+00        0.777167E-01       -0.141583E-15        0.853833E+01        0.853750E+01        0.000000E+00        0.743583E-03
  20180309        0.373292E-04        0.114000E-02        0.108000E-03        0.349375E+00        0.138167E-02        0.150375E-02        0.469625E-04        0.572083E-12        0.118542E-02        0.128333E-02        0.445667E-02        0.857125E+00        0.763292E-01       -0.702083E-16        0.852083E+01        0.852000E+01        0.000000E+00        0.739083E-03
  20180310        0.375083E-04        0.111042E-02        0.108875E-03        0.350417E+00        0.137125E-02        0.149125E-02        0.466250E-04        0.574417E-12        0.117833E-02        0.127292E-02        0.441833E-02        0.858000E+00        0.749875E-01       -0.912125E-16        0.850333E+01        0.850250E+01        0.000000E+00        0.734875E-03
  20180311        0.376750E-04        0.108250E-02        0.109000E-03        0.351417E+00        0.136208E-02        0.147792E-02        0.463042E-04        0.576750E-12        0.117000E-02        0.126333E-02        0.438250E-02        0.858042E+00        0.736958E-01       -0.252917E-16        0.848500E+01        0.848458E+01        0.000000E+00        0.730917E-03
  20180312        0.378500E-04        0.105708E-02        0.109000E-03        0.352375E+00        0.135333E-02        0.146667E-02        0.460000E-04        0.578958E-12        0.116250E-02        0.125417E-02        0.434750E-02        0.859000E+00        0.724500E-01       -0.145292E-15        0.846750E+01        0.846667E+01        0.000000E+00        0.727292E-03
  20180313        0.380125E-04        0.103167E-02        0.110000E-03        0.353333E+00        0.134500E-02        0.145583E-02        0.457167E-04        0.581208E-12        0.115792E-02        0.124542E-02        0.431542E-02        0.859000E+00        0.712500E-01        0.203783E-15        0.845042E+01        0.844958E+01        0.000000E+00        0.723750E-03
  20180314        0.381583E-04        0.100904E-02        0.110000E-03        0.354292E+00        0.133750E-02        0.144542E-02        0.454417E-04        0.583375E-12        0.115000E-02        0.123792E-02        0.428500E-02        0.859875E+00        0.701042E-01       -0.300125E-16        0.843333E+01        0.843250E+01        0.000000E+00        0.720458E-03
  20180315        0.383250E-04        0.986583E-03        0.110000E-03        0.355208E+00        0.133000E-02        0.143542E-02        0.451875E-04        0.585583E-12        0.114417E-02        0.123000E-02        0.425542E-02        0.860000E+00        0.689875E-01       -0.104817E-15        0.841542E+01        0.841500E+01        0.000000E+00        0.717375E-03
  20180316        0.384583E-04        0.965458E-03        0.110917E-03        0.356083E+00        0.132125E-02        0.142625E-02        0.449375E-04        0.587708E-12        0.114000E-02        0.122083E-02        0.422750E-02        0.860583E+00        0.679125E-01        0.144674E-16        0.839833E+01        0.839750E+01        0.000000E+00        0.714458E-03
  20180317        0.386125E-04        0.945250E-03        0.111000E-03        0.357000E+00        0.131542E-02        0.141708E-02        0.447042E-04        0.589792E-12        0.113208E-02        0.121458E-02        0.420042E-02        0.861000E+00        0.668750E-01        0.176513E-15        0.838167E+01        0.838083E+01        0.000000E+00        0.711750E-03
  20180318        0.387500E-04        0.925958E-03        0.111000E-03        0.357958E+00        0.131000E-02        0.140917E-02        0.444792E-04        0.591833E-12        0.113000E-02        0.120958E-02        0.417500E-02        0.861208E+00        0.658667E-01       -0.902250E-16        0.836458E+01        0.836417E+01        0.000000E+00        0.709083E-03
  20180319        0.388750E-04        0.907500E-03        0.111583E-03        0.358792E+00        0.130083E-02        0.140000E-02        0.442667E-04        0.593917E-12        0.112208E-02        0.120000E-02        0.415083E-02        0.862000E+00        0.649000E-01        0.192638E-16        0.834667E+01        0.834583E+01        0.000000E+00        0.706625E-03
  20180320        0.390250E-04        0.889833E-03        0.112000E-03        0.359583E+00        0.129750E-02        0.139125E-02        0.440583E-04        0.595917E-12        0.112000E-02        0.119542E-02        0.412750E-02        0.862000E+00        0.639583E-01       -0.511792E-16        0.833083E+01        0.833000E+01        0.000000E+00        0.704292E-03
  20180321        0.391500E-04        0.872958E-03        0.112000E-03        0.360375E+00        0.129000E-02        0.138458E-02        0.438583E-04        0.597917E-12        0.111375E-02        0.119000E-02        0.410500E-02        0.862708E+00        0.630500E-01       -0.179250E-15        0.831417E+01        0.831333E+01        0.000000E+00        0.702083E-03
  20180322        0.392708E-04        0.856708E-03        0.112042E-03        0.361167E+00        0.128542E-02        0.137833E-02        0.436708E-04        0.599917E-12        0.111000E-02        0.118292E-02        0.408333E-02        0.863000E+00        0.621625E-01        0.927083E-17        0.829625E+01        0.829583E+01        0.000000E+00        0.700000E-03
  20180323        0.393958E-04        0.841208E-03        0.113000E-03        0.362000E+00        0.128000E-02        0.137000E-02        0.434917E-04        0.601833E-12        0.110750E-02        0.118000E-02        0.406333E-02        0.863125E+00        0.613042E-01        0.237917E-17        0.828000E+01        0.827917E+01        0.000000E+00        0.698000E-03
  20180324        0.395250E-04        0.826208E-03        0.113000E-03        0.362917E+00        0.127458E-02        0.136292E-02        0.433167E-04        0.603792E-12        0.110000E-02        0.117125E-02        0.404333E-02        0.864000E+00        0.604833E-01        0.945000E-17        0.826417E+01        0.826333E+01        0.000000E+00        0.696125E-03
  20180325        0.396375E-04        0.811833E-03        0.113000E-03        0.363625E+00        0.127000E-02        0.135875E-02        0.431500E-04        0.605708E-12        0.110000E-02        0.117000E-02        0.402458E-02        0.864000E+00        0.596542E-01        0.590625E-16        0.824583E+01        0.824542E+01        0.000000E+00        0.694333E-03
  20180326        0.397542E-04        0.798042E-03        0.113250E-03        0.364292E+00        0.126542E-02        0.135000E-02        0.429875E-04        0.607625E-12        0.109417E-02        0.116125E-02        0.400542E-02        0.864417E+00        0.588833E-01        0.522375E-16        0.823000E+01        0.822917E+01        0.000000E+00        0.692542E-03
  20180327        0.398667E-04        0.784625E-03        0.114000E-03        0.365000E+00        0.126000E-02        0.134500E-02        0.428375E-04        0.609500E-12        0.109000E-02        0.116000E-02        0.398792E-02        0.865000E+00        0.581125E-01        0.397042E-16        0.821417E+01        0.821333E+01        0.000000E+00        0.690875E-03
  20180328        0.399750E-04        0.771750E-03        0.114000E-03        0.365958E+00        0.125750E-02        0.134000E-02        0.426750E-04        0.611375E-12        0.109000E-02        0.115292E-02        0.397125E-02        0.865000E+00        0.573667E-01       -0.235221E-16        0.819625E+01        0.819583E+01        0.000000E+00        0.689375E-03
  20180329        0.400833E-04        0.759500E-03        0.114000E-03        0.366625E+00        0.125000E-02        0.133292E-02        0.425375E-04        0.613208E-12        0.108375E-02        0.115000E-02        0.395458E-02        0.865583E+00        0.566417E-01       -0.507500E-16        0.818042E+01        0.817958E+01        0.000000E+00        0.687750E-03
